timestamp,title,price,total_area,rooms,floor,total_floors,address,latitude,longitude,description,json_description,url,images_count
2026-03-25 03:33:11,"31,5 м², апартаменты-студия",12078792,,,,,,,,"31,5 м², апартаменты-студия12 078 792 ₽383 210 ₽ за м²","Продается апартаменты-студию 31.52 м² по цене 12,08 млн ₽ на 4 этаже из 20. 📍 Адрес: Москва, улица Академика Ильюшина, 21, МФК «ДИУС». ✅ Характеристики, описание и фото объекта id 244099154636966976 на Яндекс Недвижимости",https://realty.yandex.ru/offer/244099154636966976/,8
2026-03-25 03:33:18,"127,6 м², 4-комнатная квартира",70001736,,,,,,,,"127,6 м², 4-комнатная квартира70 001 736 ₽548 775 ₽ за м²","Продается квартира 127.56 м² по цене 70 млн ₽ на 32 этаже из 49. 📍 Адрес: Москва, ВАО, район Сокольники, ЖК «Солос». ✅ Характеристики, описание и фото объекта id 5228381912133633986 на Яндекс Недвижимости",https://realty.yandex.ru/offer/5228381912133633986/,8
2026-03-25 03:33:29,"51,9 м², 1-комнатная квартира",62224300,,,,,,,,"51,9 м², 1-комнатная квартира62 224 300 ₽1 198 927 ₽ за м²","Продается однокомнатная квартира 51.9 м² по цене 62,22 млн ₽ на 2 этаже из 7. 📍 Адрес: Москва, Шлюзовая набережная, 3, Элитный жилой комплекс «Монблан». ✅ Характеристики, описание и фото объекта id 7665459514972870995 на Яндекс Недвижимости",https://realty.yandex.ru/offer/7665459514972870995/,8
2026-03-25 03:33:37,"22,6 м², апартаменты-студия",5690000,,,,,,,,"22,6 м², апартаменты-студия5 690 000 ₽251 770 ₽ за м²","Продается апартаменты-студию 22.6 м² по цене 5,69 млн ₽ на 3 этаже из 5. 📍 Адрес: Москва, 14-я Парковая улица, 8, ✅ Характеристики, описание и фото объекта id 4263223584747926146 на Яндекс Недвижимости",https://realty.yandex.ru/offer/4263223584747926146/,8
2026-03-25 03:33:46,"67,6 м², 2-комнатная квартира",39829920,,,,,,,,"67,6 м², 2-комнатная квартира39 829 920₽–9%36 245 227 ₽536 172 ₽ за м²","Продается двухкомнатная квартира 67.6 м² по цене 39,83 млн ₽ на 2 этаже из 21. 📍 Адрес: Москва, Старый Петровско-Разумовский проезд, 1, ЖК «Петровский парк II». ✅ Характеристики, описание и фото объекта id 4011615984005890368 на Яндекс Недвижимости",https://realty.yandex.ru/offer/4011615984005890368/,8
2026-03-25 03:33:55,"42,9 м², 1-комнатная квартира",29648190,,,,,,,,"42,9 м², 1-комнатная квартира29 648 190₽–12%26 090 407 ₽608 168 ₽ за м²","Продается однокомнатная квартира 42.9 м² по цене 29,65 млн ₽ на 3 этаже из 21. 📍 Адрес: Москва, ЖК Портленд, ЖК «ПОРТЛЕНД». ✅ Характеристики, описание и фото объекта id 3939908807157622332 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3939908807157622332/,8
2026-03-25 03:34:05,"80 м², 2-комнатная квартира",61680000,,,,,,,,"80 м², 2-комнатная квартира61 680 000 ₽771 000 ₽ за м²","Продается двухкомнатная квартира 80 м² по цене 61,68 млн ₽ на 16 этаже из 34. 📍 Адрес: Москва, улица Демьяна Бедного, вл24, ЖК «Высотка на Жукова». ✅ Характеристики, описание и фото объекта id 1694903191200089333 на Яндекс Недвижимости",https://realty.yandex.ru/offer/1694903191200089333/,8
2026-03-25 03:34:13,"75,4 м², 4-комнатная квартира",36434240,,,,,,,,"75,4 м², 4-комнатная квартира36 434 240₽–9%33 088 237 ₽439 069 ₽ за м²","Продается квартира 75.36 м² по цене 36,43 млн ₽ на 26 этаже из 32. 📍 Адрес: Москва, ЖК Гранель Коломенское, ЖК «Гранель Коломенское». ✅ Характеристики, описание и фото объекта id 5226951667114243184 на Яндекс Недвижимости",https://realty.yandex.ru/offer/5226951667114243184/,8
2026-03-25 03:34:23,"54,2 м², 3-комнатная квартира",16300000,,,,,,,,"54,2 м², 3-комнатная квартира16 300 000 ₽300 738 ₽ за м²","Продается трехкомнатная квартира 54.2 м² по цене 16,3 млн ₽ на 2 этаже из 5. 📍 Адрес: Москва, Ярославская улица, 17, ✅ Характеристики, описание и фото объекта id 5226954973064353565 на Яндекс Недвижимости",https://realty.yandex.ru/offer/5226954973064353565/,8
2026-03-25 03:34:33,"43,1 м², 1-комнатная квартира",15060996,,,,,,,,"43,1 м², 1-комнатная квартира15 060 996 ₽349 200 ₽ за м²","Продается однокомнатная квартира 43.13 м² по цене 15,06 млн ₽ на 32 этаже из 32. 📍 Адрес: Москва, Проектируемый проезд № 990, Квартал Мит. ✅ Характеристики, описание и фото объекта id 4017216401911902660 на Яндекс Недвижимости",https://realty.yandex.ru/offer/4017216401911902660/,8
2026-03-25 03:34:44,"63,8 м², 2-комнатная квартира",26936360,,,,,,,,"63,8 м², 2-комнатная квартира26 936 360₽–7%25 050 814 ₽392 646 ₽ за м²","Продается двухкомнатная квартира 63.8 м² по цене 26,94 млн ₽ на 3 этаже из 10. 📍 Адрес: Москва, улица Маршала Прошлякова, 12к2с1, Строгино 360. ✅ Характеристики, описание и фото объекта id 4017216401905230348 на Яндекс Недвижимости",https://realty.yandex.ru/offer/4017216401905230348/,8
2026-03-25 03:34:56,"97,2 м², 3-комнатная квартира",29050000,,,,,,,,"97,2 м², 3-комнатная квартира29 050 000 ₽298 868 ₽ за м²","Продается трехкомнатная квартира 97.2 м² по цене 29,05 млн ₽ на 30 этаже из 30. 📍 Адрес: Москва, улица Михайлова, 30Ак6, Михайловский парк. ✅ Характеристики, описание и фото объекта id 3961344737879055232 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3961344737879055232/,8
2026-03-25 03:35:08,"123,3 м², 3-комнатная квартира",59500000,,,,,,,,"123,3 м², 3-комнатная квартира59 500 000 ₽482 563 ₽ за м²","Продается трехкомнатная квартира 123.3 м² по цене 59,5 млн ₽ на 14 этаже из 15. 📍 Адрес: Москва, Петровско-Разумовская аллея, 10к2, ✅ Характеристики, описание и фото объекта id 637142908131073310 на Яндекс Недвижимости",https://realty.yandex.ru/offer/637142908131073310/,8
2026-03-25 03:35:17,"60,4 м², 2-комнатная квартира",38305656,,,,,,,,"60,4 м², 2-комнатная квартира38 305 656 ₽634 725 ₽ за м²","Продается двухкомнатная квартира 60.35 м² по цене 38,31 млн ₽ на 8 этаже из 24. 📍 Адрес: Москва, ЖК Мира, ЖК «МИРА». ✅ Характеристики, описание и фото объекта id 7524425128566333254 на Яндекс Недвижимости",https://realty.yandex.ru/offer/7524425128566333254/,8
2026-03-25 03:35:27,"73,3 м², 2-комнатная квартира",17000000,,,,,,,,"73,3 м², 2-комнатная квартира17 000 000 ₽231 924 ₽ за м²","Продается двухкомнатная квартира 73.3 м² по цене 17 млн ₽ на 5 этаже из 23. 📍 Адрес: Москва, НАО, Филимонковский район, улица Харлампиева, 32, ЖК «Детали». ✅ Характеристики, описание и фото объекта id 21046141074568400 на Яндекс Недвижимости",https://realty.yandex.ru/offer/21046141074568400/,8
2026-03-25 03:35:37,"43,8 м², 2-комнатная квартира",16900000,,,,,,,,"43,8 м², 2-комнатная квартира16 900 000 ₽385 845 ₽ за м²","Продается двухкомнатная квартира 43.8 м² по цене 16,9 млн ₽ на 3 этаже из 31. 📍 Адрес: Москва, ЖК Квартал Метроном, Квартал «Метроном». ✅ Характеристики, описание и фото объекта id 7053956998499585485 на Яндекс Недвижимости",https://realty.yandex.ru/offer/7053956998499585485/,8
2026-03-25 03:35:46,"73,6 м², 3-комнатная квартира",23345920,,,,,,,,"73,6 м², 3-комнатная квартира23 345 920 ₽317 200 ₽ за м²","Продается трехкомнатная квартира 73.6 м² по цене 23,35 млн ₽ на 15 этаже из 16. 📍 Адрес: Москва, ЖК Бунинская Набережная, 2.6/1.2, Бунинская набережная. ✅ Характеристики, описание и фото объекта id 4017216401910984068 на Яндекс Недвижимости",https://realty.yandex.ru/offer/4017216401910984068/,8
